Grid Size ,64
 NULL, NodeType, GridX, GridY, Length, Width, Height, PosX, PosY, PosZ
0,0,0,0,2.1875,2.1875076294,0,-68.90625,-68.9062385559,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,1,2.1874923706,2.1875,0,-66.7187538147,-68.9062423706,0
0,1,1,1,2.1875,2.1875076294,0,-66.71875,-66.7187385559,0
0,1,1,0,2.1875,2.1875,0,-68.90625,-66.7187347412,0
0,0,0,1,2.1874923706,2.1875,0,-66.7187538147,-68.9062423706,0
0,1,1,0,2.1875,2.1875,0,-68.90625,-66.7187347412,0
0,1,0,0,2.1875,2.1875076294,0,-68.90625,-68.9062385559,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,2,2.1875,2.1875,0,-64.5312576294,-68.9062423706,0
0,1,1,2,2.1875,2.1875,0,-64.53125,-66.7187423706,0
0,1,1,1,2.1875,2.1875076294,0,-66.71875,-66.7187385559,0
0,0,0,2,2.1875,2.1875,0,-64.5312576294,-68.9062423706,0
0,1,1,1,2.1875,2.1875076294,0,-66.71875,-66.7187385559,0
0,1,0,1,2.1874923706,2.1875,0,-66.7187538147,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,3,2.1875,2.1875,0,-62.3437576294,-68.9062423706,0
0,1,1,3,2.1874961853,2.1875,0,-62.3437519073,-66.7187423706,0
0,1,1,2,2.1875,2.1875,0,-64.53125,-66.7187423706,0
0,0,0,3,2.1875,2.1875,0,-62.3437576294,-68.9062423706,0
0,1,1,2,2.1875,2.1875,0,-64.53125,-66.7187423706,0
0,1,0,2,2.1875,2.1875,0,-64.5312576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,4,2.1875,2.1875,0,-60.1562576294,-68.9062423706,0
0,1,1,4,2.1874961853,2.1875,0,-60.1562557221,-66.7187423706,0
0,1,1,3,2.1874961853,2.1875,0,-62.3437519073,-66.7187423706,0
0,0,0,4,2.1875,2.1875,0,-60.1562576294,-68.9062423706,0
0,1,1,3,2.1874961853,2.1875,0,-62.3437519073,-66.7187423706,0
0,1,0,3,2.1875,2.1875,0,-62.3437576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,5,2.1875,2.1875,0,-57.9687576294,-68.9062423706,0
0,1,1,5,2.1875,2.1875,0,-57.9687576294,-66.7187423706,0
0,1,1,4,2.1874961853,2.1875,0,-60.1562557221,-66.7187423706,0
0,0,0,5,2.1875,2.1875,0,-57.9687576294,-68.9062423706,0
0,1,1,4,2.1874961853,2.1875,0,-60.1562557221,-66.7187423706,0
0,1,0,4,2.1875,2.1875,0,-60.1562576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,6,2.1875,2.1875,0,-55.7812576294,-68.9062423706,0
0,1,1,6,2.1875,2.1875,0,-55.7812576294,-66.7187423706,0
0,1,1,5,2.1875,2.1875,0,-57.9687576294,-66.7187423706,0
0,0,0,6,2.1875,2.1875,0,-55.7812576294,-68.9062423706,0
0,1,1,5,2.1875,2.1875,0,-57.9687576294,-66.7187423706,0
0,1,0,5,2.1875,2.1875,0,-57.9687576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,7,2.1875,2.1875,0,-53.5937576294,-68.9062423706,0
0,1,1,7,2.1875,2.1875,0,-53.5937576294,-66.7187423706,0
0,1,1,6,2.1875,2.1875,0,-55.7812576294,-66.7187423706,0
0,0,0,7,2.1875,2.1875,0,-53.5937576294,-68.9062423706,0
0,1,1,6,2.1875,2.1875,0,-55.7812576294,-66.7187423706,0
0,1,0,6,2.1875,2.1875,0,-55.7812576294,-68.9062423706,0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 0, 0, 0
0,1,0,8,2.1875,2.1875,0,-51.4062576294,-68.9062423706,0
0,1,1,8,2.1875,2.1875,0,-51.4062576294,-66.7187423706,0
