Grid Size,30
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,0,4.6667,4.6667,0,-67.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,1,0,4.6667,4.6666,0,-63,-67.6666,0
0,1,1,1,4.6666,4.6666,0,-63,-63,0
0,1,0,1,4.6666,4.6667,0,-67.6666,-63,0
0,0,1,0,4.6667,4.6666,0,-63,-67.6666,0
0,1,0,1,4.6666,4.6667,0,-67.6666,-63,0
0,1,0,0,4.6667,4.6667,0,-67.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
0,1,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,1,1,1,4.6666,4.6666,0,-63,-63,0
0,0,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
0,1,1,1,4.6666,4.6666,0,-63,-63,0
0,1,1,0,4.6667,4.6666,0,-63,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
0,1,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,1,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,0,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
0,1,2,1,4.6666,4.6667,0,-58.3334,-63,0
0,1,2,0,4.6667,4.6667,0,-58.3334,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,4,0,4.6667,4.6666,0,-49,-67.6666,0
0,1,4,1,4.6666,4.6666,0,-49,-63,0
0,1,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,0,4,0,4.6667,4.6666,0,-49,-67.6666,0
0,1,3,1,4.6666,4.6667,0,-53.6666,-63,0
0,1,3,0,4.6667,4.6667,0,-53.6666,-67.6666,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
0,1,5,1,4.6666,4.6667,0,-44.3334,-63,0
0,1,4,1,4.6666,4.6666,0,-49,-63,0
0,0,5,0,4.6667,4.6667,0,-44.3334,-67.6666,0
0,1,4,1,4.6666,4.6666,0,-49,-63,0
0,1,4,0,4.6667,4.6666,0,-49,-67.6666,0
